名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居","https://www.airbnb.cn/rooms/15410135?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,299,11,"大视野观景,边位明亮,享楼下山泉水泳池､休闲会所,小区温泉､景观湖､登羊角山､英伦小镇写真…天然､富氧､健康｡房间星级标准打造,电视､冰箱､洗衣机､电视､WiFi､冷暖空调,入住舒适,将心比心把卫生做到最好,提升入住体验｡",山泉水泳池､休闲会所､温泉､半山网球场､篮球场､足球场,"楼下停车,3路公交车直达",,,,
清远佛冈碧桂园清泉城四房七床带KTV温泉豪华半山别墅,"https://www.airbnb.cn/rooms/15473363?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住12人,898,1,"本别墅位于广东省清远市佛冈碧桂园清泉城内,酒店式经营管理,周边旅游资源丰富,聚集了森波拉奇妙世界､观音山风景区､聚龙湾度假区等旅游度假项目,是珠三角客户旅游度假天堂｡别墅内设有ktv影视厅､57寸超大电视､电动麻将机､烧烤炉､厨房等设备｡独栋别墅,视野开阔,别墅四周群山环绕,景色优美｡",森波拉度假区,自驾游,,,,
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天","https://www.airbnb.cn/rooms/15891423?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,7张床,4间卧室,最多住12人,980,9,"【碧桂园清泉城】亦家度假别墅 坐落于广州后花园清远佛冈羊角山风景区碧桂园清泉城云泉谷,坐北观南,拥有宽阔的自然景观｡

距离广州仅1小时车程｡

适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡
这里,有最干净的空气,最清澈的溪流,最灿烂的星空,和最美丽的风景｡
别墅坐落于山谷坡岭之中,设备齐全,KTV､烧烤､麻将､乒乓球台､做饭､钓鱼､绿道踩单车､儿童乐园､体育公园､温泉会所､风情商业街､当地美食农庄一应俱全｡

你若喜欢,请来,我许你明月朗朗,清风相伴~",大型温泉会所､无边游池､儿童乐园､体育公园､植物园､钓鱼岛､水晶宫､英伦小镇､美食农庄等,"文通便利,由京珠高速至广州仅1小时左右车程,通往深圳､东莞､佛山等地仅需1.5-2.5小时｡距离佛冈县城10分钟车程｡
周边旅游资源丰富,聚集了森波拉温泉度假村､聚龙湾天然温泉度假村､观音山省级风景区､龙啸峡漂流､田野绿世界等旅游度假项目｡",,,,
田源民宿,"https://www.airbnb.cn/rooms/16153670?s=lL8DwLxp&guests=1&adults=1
",普通民宅里的独立房间,3个公共卫生间,5张床,4间卧室,最多住6人,160,5,"逃离城市寻找一个安静的乡村或是与大自然来个热情拥抱,也许这里合适你,带上风筝可以在大草原奔跑,带上鱼竿在罗坑湖垂钓,背上背包攀登茶岩顶､船底顶(这最不缺的就是山),带上手电筒探险山洞,或许----等待你的发现｡ 
干净整洁房子,有超大阳台可以在夜晚边喝茶边仰望星空｡虫鸣鸟叫,繁星点点,可能唯有天空那点闪闪红光的飞机可以发出现代的噪音了!对自然就这么亲近｡","我这处于客家村落,民风淳朴｡","停车很方便哦,院子可以免费停车",,,,
趣墅·清远佛冈清泉城1号半山私家温泉别墅|5房8床|麻将烧烤,"https://www.airbnb.cn/rooms/16638103?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,8张床,5间卧室,最多住15人,1680,3,"趣墅,全国领先的别墅度假品牌｡作为“趣味度假魔法师”的首倡者,我们希望为客人带来有趣而美好的度假体验｡无论是家庭度假､亲友聚会､公司欢聚,或是商务接待等,趣墅都能为你提供完美的度假地｡目前,趣墅已遍布华南热门旅游目的地,在线精品别墅超过1000栋,服务人次超过60万｡同时,趣墅也即将进驻三亚､杭州､成都､重庆等地,让更多人可以睡进有趣的度假别墅,躺进1000种理想生活里｡

别墅位于佛冈县碧桂园清泉城内,小区内设植物园､儿童乐园､会所､餐厅､登山公园､网球场､足球场､高尔夫球场等,周边聚集了森波拉温泉度假村､聚龙湾天然温泉度假村､观音山省级风景区､龙啸峡漂流等旅游度假项目｡",,,,,,
清远高品会.百老汇spa独栋别墅12套房18床14卫,"https://www.airbnb.cn/rooms/16658073?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,14个卫生间,16张床,12间卧室,16位及更多房客,3960,0,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
高品号邮轮·利舞台空中K歌spa别墅8房14床,"https://www.airbnb.cn/rooms/17442601?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,14张床,8间卧室,16位及更多房客,2280,8,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
清远高品会·百老汇spa双拼别墅6套房9床7卫,"https://www.airbnb.cn/rooms/17443143?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,7个卫生间,9张床,6间卧室,最多住12人,1980,2,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
清远高品会.维也纳spa别墅7房9床,"https://www.airbnb.cn/rooms/17443345?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,7间卧室,16位及更多房客,1980,1,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
清远高品会.荷里活spa别墅 六房8床,"https://www.airbnb.cn/rooms/17449742?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,8张床,6间卧室,最多住12人,1880,2,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
"趣墅·清远佛冈清泉城5号私家温泉别墅|5房9床|麻将烧烤自助厨房,近森波拉度假区","https://www.airbnb.cn/rooms/18201544?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3.5个卫生间,9张床,5间卧室,16位及更多房客,1580,0,"趣墅,全国领先的别墅度假品牌｡作为“趣味度假魔法师”的首倡者,我们希望为客人带来有趣而美好的度假体验｡无论是家庭度假､亲友聚会､公司欢聚,或是商务接待等,趣墅都能为你提供完美的度假地｡目前,趣墅已遍布华南热门旅游目的地,在线精品别墅超过1000栋,服务人次超过60万｡同时,趣墅也即将进驻三亚､杭州､成都､重庆等地,让更多人可以睡进有趣的度假别墅,躺进1000种理想生活里｡

清远佛冈碧桂园清泉城别墅,由碧桂园集团打造的大型度假新城,依山而建､全新装饰而成的私家别墅,最大限度保留了地块原有的地形地貌,四周群山环抱,山色连绵｡别墅依山依势而筑,潺潺溪水蜿蜒其中,家家观景､户户亲水｡","【周边配套】:
【浈阳峡旅游小镇】位于清远英德市连江口镇北,是集旅游､住宿､餐饮､购物､会议､休闲娱乐为一体的多功能休闲度假区｡
【观音山王山寺】观音山为广东的八大名山之一,海拔1288米,是著名的佛教名山｡景区还有一系列的旅游项目,如:神仙谷探秘､刺激溯瀑､露营野炊､定向越野､丛林穿越等｡
【上岳村】是一个有着720年历史的古村落｡它始建于宋代,于清朝达到鼎盛时期｡村内108座古民居掩卧在桔果树丛中,前塘后山的布局,蕴含着藏风纳水的寓意｡
【飞来峡】飞来峡风景区位于清远城上游20多公里的北江河段,是省级风景名胜区和旅游度假区,是道教第十九福地｡","【交通路线】:
导航地址:佛冈碧桂园清泉城
广州出发:华南快速干线(或机场高速)---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城
佛山出发:北二环---京珠高速(北行)---佛冈出口---右转沿
106国道走5公里---碧桂园清泉城
东莞深圳出发:广深高速---北二环---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城",,,,
山泉山庄(包别墅),"https://www.airbnb.cn/rooms/18320573?s=lL8DwLxp&guests=1&adults=1
",别墅里的独立房间,5个独立卫生间,11张床,7间卧室,16位及更多房客,1888,0,"山泉山庄位于广东省英德市石牯塘镇石下村委(桥头别墅),地处旅游胜地(九州驿站天门沟与蝴蝶谷)景区边,离景区7公里处,行车时10分钟;距离石牯塘镇2公里,行车时3分钟｡居住环境秀丽而优美,空气清新､气候宜人,令人天然般心旷神怡,享受多样化住宿环境,避暑山庄之选!期待您的大驾光临,住进百姓家,体验百姓生活,领略农家风采!",,,,,,
山泉山庄(别墅套房),"https://www.airbnb.cn/rooms/18321846?s=lL8DwLxp&guests=1&adults=1
",别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,388,0,"英德山泉山庄位于广东省英德市石牯塘镇石下村委(桥头别墅),地处旅游胜地(九州驿站天门沟､蝴蝶谷､广东大峡谷等)景区边,离景区7公里处,行车时10分钟;距离石牯塘镇2公里,行车时3分钟｡居住环境秀丽而优美,空气清新､气候宜人,令人天然般心旷神怡!期待您的大驾光临,住进百姓家,体验百姓生活,领略农家风采!备注:如果亲想要品尝真正的农家风味,本地清远鸡,山川河鸭,山泉鱼,农家青菜,提前预约,这样更好的提前为您安排!",,,,,,
农村小镇湖畔人家,"https://www.airbnb.cn/rooms/18629106?s=lL8DwLxp&guests=1&adults=1
",普通民宅里的独立房间,1间卫生间,2张床,1间卧室,最多住2人,138,0,"湖畔旁边的房子,远离尘嚣,空气清新,环境优美｡体验农村人家的生活方式…",,,,,,
紫晴雅筑,"https://www.airbnb.cn/rooms/18756449?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,3个卫生间,4张床,4间卧室,最多住8人,1000,5,"房子位于半山,私密性非常好,是联排别墅,花园面积约150平米｡两间联排别墅可以一并租,也可以单独租一间别墅,标价是一间联排别墅的价格｡别墅里有电视､麻将机等娱乐设施,小区里有绿道､公园､观景湖等,风景秀丽,还有四个泳池和一个大型温泉区,有超市,附近有较多食肆,靠近羊角山国家森林公园,森波拉温泉近在咫尺,是团队建设及一家人周末休闲放松的好去处｡",,,,,,
佛冈碧桂园清泉城凤凰温泉度假别墅,"https://www.airbnb.cn/rooms/19791590?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,7张床,4间卧室,最多住12人,1080,2,"业主自营,干净卫生｡三层独栋别墅,230平米,四房七床,可住8-12人,另可加一张1米5沙发床｡300平米大花园,私人温泉泡池｡厨房配全套用具､专业KTV､麻将､烧烤､乒乓球台､摇椅等休闲娱乐设施齐全｡别墅区内还有儿童乐园､植物园､体育公园､绿道､钓鱼岛､英伦小镇､农庄,吃喝玩乐一应俱全,风景幽美,空气清新,是度假､聚会的好去处｡","这里是度假区,游客喜欢这里的清新空气,优美环境,休闲的度假气氛,喜欢假日放松的你们请到这里来吧｡",自驾:京珠高速佛冈出口右转5公里即到,,,,
[铭南]望山复式2房公寓/森波拉/观音山/羊角山,"https://www.airbnb.cn/rooms/19796435?s=lL8DwLxp&guests=1&adults=1
",整间Loft,1间卫生间,2张床,2间卧室,最多住4人,286,3,"养生度假的大盘,著名的碧桂园小区｡环境优美清新!内部设备齐全,高速网络",,,,,,
恒大金碧天下~领寓-非凡,"https://www.airbnb.cn/rooms/19823818?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,188,1,"恒大金碧天下位于广东省重点旅游城市清远市龙颈镇,全国有名的恒大足球学校就在旁边,房间位于楼盘小区中心位置,空气清新怡人,环境舒适优雅,设施齐全,难得的是由样板房装修而成,实为都市人士渡假之理想选择!",这里是全国足球旅游小镇哟!,"有穿楼盘梭楼巴,到市区和广州以太广场的巴士",,,,
清远包别墅英德包别墅,"https://www.airbnb.cn/rooms/20156442?s=lL8DwLxp&guests=1&adults=1
",整套房子,5个卫生间,11张床,7间卧室,16位及更多房客,1888,1,深山老林之世外桃园,,,,,,
碧桂园清泉城《高端》山景风情两房一厅,"https://www.airbnb.cn/rooms/20676346?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,2张床,5间卧室,最多住14人,198,1,"佛冈碧桂园清泉城《美湖丽景》温泉酒店
    “酒店介绍”:精品标准大床房
灯光融合欧洲风格
  景观特色:清晨醒来打开窗帘,绿色山水景铺面而来｡

     配套特色:小区有会所､可健身､跑步打桌球､乒乓球､游泳､户外有篮球场､足球场､网球场､有登山径,可上羊角山､有雪行车道,可租车骑行,锻炼身体｡

    养生特色:温泉

周边特色:羊角山风景区､森波拉风景区､观音山风景区

  小区内有免费电瓶车､随叫随到､有免费穿梭巴士､有超市､餐厅､山泉水游泳池､半山网球场､足球场､篮球场､湖治､登山､健身会所､免费茶歇､儿童游乐场､植物园､提款机等……","《美好时光,美景,美屋不可辜负》
住在这里是一种很美妙的事情,是一种温馨舒适的感受!
愿有缘来住下的朋友,希望它为你带来一段独一无二的旅途体验｡
日韩小清新,典雅之余不失高贵｡
  清新淡雅的空气和休闲的气氛;让您感受城市不能体验的悠闲舒适;让心灵回归大自然更好地享受生活的乐趣｡","佛冈碧桂园清泉城《美湖丽景》温泉酒店
    “酒店介绍”:
  景观特色:清晨醒来打开窗帘,绿色山水景铺面而来｡

     配套特色:小区有会所､可健身､跑步打桌球､乒乓球､游泳､户外有篮球场､足球场､网球场､有登山径,可上羊角山､有雪行车道,可租车骑行,锻炼身体｡

    养生特色:温泉

周边特色:羊角山风景区､森波拉风景区､观音山风景区

  小区内有免费电瓶车､随叫随到､有免费穿梭巴士､有超市､餐厅､山泉水游泳池､半山网球场､足球场､篮球场､湖治､登山､健身会所､免费茶歇､儿童游乐场､植物园､提款机等……

  
   自驾游路线 (Website hidden by Airbnb) 广州:华南快速干线—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉 (Website hidden by Airbnb) 佛山:广佛高速公路—广州环城高速(北行)—华南快速干线—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉 (Website hidden by Airbnb) 深圳:广深高速—北二环—京珠高速(北行)—佛冈出口右转5公里—碧桂园清泉 (Website hidden by Airbnb) 



佛冈清泉城美湖丽景度假酒店",,,,
