名称,评论时间,评论详情
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-07-14T06:43:14Z,.
清远佛冈碧桂园清泉城四房七床带KTV温泉豪华半山别墅,2018-04-01T08:52:39.000Z,"园区环境很好,比较安静,离温泉很近,自己开车会比较方便｡别墅设施齐全,适合家人或一群朋友度假｡附近超市比较少,建议可以提前准备好｡整体体验很好,比较满意"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2019-03-24T05:37:30.000Z,"房间和房东表现都是相当不错的,虽然有少许瑕疵,不过值得入住｡"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2019-01-28T06:08:04.000Z,"空气不流通的房间有点异味,其他都很好"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2019-01-14T08:43:49.000Z,挺好的!一切都
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2018-09-14T07:46:16.000Z,"很愉快的一次临时出行,房东和管家接待都很热情,别墅位置很好,景观很漂亮,在露台就可以看到全景,设施挺齐全的,可以泡温泉,太阳能热水器洗澡水量挺大很舒服,而且干净卫生,住起来挺舒心｡"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2018-08-21T06:39:37.000Z,"环境不错,空气很好,适合一群自家兄弟过去一起玩耍"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2018-08-19T06:09:57.000Z,还不错
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2018-06-02T06:24:22.000Z,"住宿的整体体验非常好,房间布局合理,非常的宽敞,独栋别墅的惬意;虽然当天下了雨,但是能够坐在阳台上欣赏雨中的美景,也是非常不错的体验｡"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2017-11-19T06:22:29Z,"超市很方便,想要的都能买到!所有用具都很干净!"
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",2017-08-13T06:15:53Z,很不错的!
田源民宿,2019-02-14T08:33:19.000Z,"一次美好的出游｡地位准确,依山傍水,远离城市的喧嚣,享受静谧的乡村生活,周边有几个免费玩乐的好去处:没开发的溶洞探险､小草原､水库等｡另一个被吸引的是房东的妈妈煮的好菜色,一日三餐都在这吃了｡"
田源民宿,2018-04-07T07:46:09.000Z,"房子坐落于一个比较原生态的村庄里,周围景色很美,而且可以做的事情很多,摘野果,去山洞探险,去附近的大草原玩,如果天气好,还能去船底顶徒步,村庄外有个不错的桑果园,是采桑果的好去处,逢四号,七号还能去附近的镇子赶集,买到新鲜的当地食材｡房东热情好客,尽可能为客人提供帮助｡很棒的体验,还会再去的｡"
田源民宿,2017-10-25T07:40:55.000Z,"房东是一位热情的小伙子,全家人都十分好客,虽然只住了一晚,但的确宾至如归｡房子稍偏远,但很干净卫生,能为我们准备饭菜,口味很好,价格也很公道,离罗坑草原很近,大概步行五分钟,周围还有小树林和茶园,再远一些有个未开发的溶洞也值得一去｡如果希望去船底顶或者周边徒步登山的朋友可以提前联系房东做向导哦!期待下次做客!"
田源民宿,2017-10-04T06:23:21.000Z,"偶然间发现的一家民宿,环境非常好,房东热情好客,值得推荐!"
田源民宿,2017-07-09T10:10:20.000Z,"十分干净!房东一家热情好客,周围景色实在太美了,值得再来几次!"
趣墅·清远佛冈清泉城1号半山私家温泉别墅|5房8床|麻将烧烤,2017-07-03T11:53:00.000Z,安静舒适
趣墅·清远佛冈清泉城1号半山私家温泉别墅|5房8床|麻将烧烤,2017-02-06T00:50:17.000Z,挺好
趣墅·清远佛冈清泉城1号半山私家温泉别墅|5房8床|麻将烧烤,2017-08-06T05:40:20.000Z,"很安静,房东也很给力"
高品号邮轮·利舞台空中K歌spa别墅8房14床,2018-07-22T06:37:49.000Z,回复积极
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-12-08T07:37:47.000Z,"房子房间很多,我们18个人,轻轻松松住下,VR,温泉什么的其实并不能用｡管家人都很好,都尽量满足我们的需求,谢谢!"
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-10-20T06:21:43.000Z,"我们这次是班聚出游,何管家很好,给我们安排妥当住宿,这次班游很开心,房子十分适合聚会~"
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-09-24T08:20:01.000Z,"管家早上联系我,到了之后给我带路,我们23个人去都住的下还有空的,非常清净,自己人想怎么玩闹都可以,公司团建的好选择,漂流也好玩"
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-08-06T05:44:28.000Z,"房间很多很大,可以住很多人,设备齐全"
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-07-31T09:06:57.000Z,设备较齐全 卫生干净 位置独立较安静 院子很适合烧烤 但可以考虑在靠外点的地方加多点灯
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-06-16T07:43:36.000Z,管家十分负责 人也很好!房子很不错｡住房和娱乐都能很好的满足住户｡
高品号邮轮·利舞台空中K歌spa别墅8房14床,2017-06-09T05:47:45Z,"地理位置不是特别好所以去之前一定要弄清楚位置,每个房间都有一次性洗漱用品和毛巾,基础设施也非常完善,是一次很好的住宿体验,适合开home趴"
清远高品会·百老汇spa双拼别墅6套房9床7卫,2018-12-31T06:23:18.000Z,"房东管家一大早就联系我了,沟通很及时,去住交代很清楚｡环境不错,停车也方便,我们一行人玩的跟我高兴,只是后门那个灯坏了,晚上烧烤不怎么方便,希望房东修一下｡三楼的门有点低矮,其他还是挺满意的!"
清远高品会·百老汇spa双拼别墅6套房9床7卫,2018-04-22T08:53:20.000Z,性价比OK的出行选择
清远高品会.维也纳spa别墅7房9床,2018-01-21T08:08:25.000Z,"这个房子很棒,管家很赞,很舒服的环境,而且设施很全"
清远高品会.荷里活spa别墅 六房8床,2017-10-01T08:37:14.000Z,屋子很大很漂亮!适合团队出来玩或者家庭出来聚会!房东人很nice!家里很干净!下次来还会住!
清远高品会.荷里活spa别墅 六房8床,2017-06-11T06:07:25.000Z,"总体不错,就是设备有点旧,可以考虑在客厅添置游戏机"
紫晴雅筑,2019-01-01T06:45:41.000Z,"这次清远温泉之旅我们是去了三天两夜,没有对比就没有差距,这一家简直太棒了节假日出行物价真的飞涨,但是这一家别墅首先价格真的很实惠,第二别墅十分干净整洁,第三管家服务很贴心,有问必答有求必应,第四房东十分热情周到!"
紫晴雅筑,2018-12-16T06:34:44.000Z,"别墅环境幽静,设施齐全,管家人性化服务"
紫晴雅筑,2017-12-31T07:19:34.000Z,"位置不错,房子很干净舒适,适合一家老少入住｡"
紫晴雅筑,2017-08-13T08:42:23.000Z,"环境非常好,老板人也很nice,带着小孩去的,玩的很开心,厨房里面东西很齐全,我们还煮了早餐｡三个家庭一起去的,都很满意｡祝老板以后生意越来越好"
紫晴雅筑,2017-11-05T06:51:38.000Z,"房子真的非常好~环境很美,设施什么的也很完善,下次来清远还要住这里!房东和管家非常尽职尽责｡要是能有秋千摇椅这种坐着吹风的用具就更棒啦"
佛冈碧桂园清泉城凤凰温泉度假别墅,2018-09-02T07:07:36.000Z,"过去需要 (Hidden by Airbnb) 交 (Phone number hidden by Airbnb) 押金｡总体入住正常,不过不失,房价也确实给了优惠,就是ktv是设在其中一个房间不太方便,晚上如果人多,洗澡的热水根本不够｡"
佛冈碧桂园清泉城凤凰温泉度假别墅,2018-05-26T07:14:14.000Z,"周围生活方便,有大超市,有很多吃饭的地方,开车几分钟就到了｡性价比很高,适合朋友小聚｡"
[铭南]望山复式2房公寓/森波拉/观音山/羊角山,2018-12-31T06:49:50.000Z,还不错的选择干净整洁的loft｡还有一个大大大阳台｡两个房间 一个有窗 一个无窗｡牙刷毛巾什么的都很齐全哦
[铭南]望山复式2房公寓/森波拉/观音山/羊角山,2017-08-27T06:24:02.000Z,"房东很亲和,电话沟通良好｡房间位置比较安静,超级大的阳台对着山,空气清新,但房间设施仍有待改善,如客厅无窗帘,2个窗都面向对面高层,透明度有些高;洗手间无任何挂钩,衣服无法摆放等,期待以后再入住时有所改变哦｡"
[铭南]望山复式2房公寓/森波拉/观音山/羊角山,2017-07-16T08:36:07.000Z,"房子不错,复式楼!周边环境很好!视野开阔｡"
恒大金碧天下~领寓-非凡,2017-09-01T07:31:55.000Z,"虽然房东远程遥控,但沟通真的很好｡公寓是新房而且是样板房｡离恒大足校很近｡下次来还会选择这里"
清远包别墅英德包别墅,2018-03-31T05:13:52.000Z,"满满的意外与惊喜,房间干净,清爽,宽敞,明亮,山庄有很多休闲娱乐,麻将桌,烧烤,钓鱼,摘果子,还可以沿着河边散步,最喜欢夜晚我们一帮人在屋顶的露台嗑着瓜子看星星月亮,一大家子玩的很开心,下次有机会还会再来｡"
碧桂园清泉城《高端》山景风情两房一厅,2019-02-09T07:58:28.000Z,"一会说有房,一会又说没房,还说退钱,真的非常无语｡去到又说没水,搞了很长时间,体验真的非常糟糕"
碧桂园清泉城《高级》豪华套房,2017-12-24T08:36:44.000Z,"环境非常好,小区里面可以滑草玩,地点有点偏,房间设施(床,热水器)有待改善｡"
[铭南]美容师之度假精装别墅,2019-02-08T05:18:49.000Z,"房源与描述相符,带两个宝宝住了几晚,还算便利,房东人很好｡独门独院,体验特别棒,小孩到处跑也不用担心跑丢,饭都吃得比平时多,卡啦OK效果也很棒,就是嗓子经不住嚎,唱了一次体验了一下就再没开过了｡别墅依山而建,特别安静,所以必须开车进出｡唯一小小的缺点是准备的被子太厚了,加上广东地区过年的气候,热得睡不着,然后就是山里蚊子有点肥,必须要防范一下,不能因为是冬天就放松警惕!"
"【趣墅】清远佛冈碧桂园清泉城·泰自在半山温泉别墅|花园私家温泉泡池BBQ麻将厨房,近森波拉度假区",2018-06-23T08:50:04.000Z,"环境挺好,泳池放水较慢,厨房不要同时用大功率电器｡附近超市比较坑"
恒大别墅雅典娜景观露台家庭大套房,2018-01-01T06:32:30.000Z,"交通方便,定位准确｡下高速就到｡5星别墅体验,房东大哥很热心,很有才华｡书法特别厉害｡感谢大款待期待下次再次入住｡"
恒大金碧天下生态墅一楼富士山雅室,2017-11-26T05:06:56.000Z,"房东很热情,我去到已经很晚了还是在门外等我们怕我们找不到路,房子超级干净､整洁,设施很齐全,家电用品及娱乐设施都很全,是一个很适合休闲娱乐放松的房子｡"
山泉山庄(豪华套房),2018-12-16T05:04:22.000Z,"带我们到村中看,有碉楼哦"
山泉山庄(豪华套房),2018-03-27T06:28:26.000Z,"别墅坐落在山脚下,小河边,房间非常好,房东热情好客,如回家般温馨,可以感受到当地的纯朴｡特别是房东自家养的走地鸡,味道一极棒,不错的一次旅行体验!"
佛冈碧桂园清泉城妮妮亲子度假房,2018-12-31T06:29:57.000Z,"小盈的声音很好听...
房间特别好,位置也很美,天气好的时候视线是非常好的,除了管家阿丽不是特别专业之外,其他的体验都是非常好的,冬天的暖气非常舒服,我们开了一整天...
我和朋友是中午到的,去到旁边的农庄吃饭后午休到晚上,小盈帮我们定了温泉,90/人的消费也是非常划算的,我觉得晚上过去温泉景色更迷人,我是第一次晚上去温泉｡
总之各个体验都很好,但没车的话就可能不方便了｡"
佛冈碧桂园清泉城妮妮亲子度假房,2018-08-12T08:09:49.000Z,房东很热情很好
佛冈碧桂园清泉城妮妮亲子度假房,2017-10-29T06:25:29.000Z,"房东跟热情,声音很好听,房子很舒服,冬天在阳台享受阳光相信会更舒适"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2019-02-07T07:12:19.000Z,"房东人很不错,提前退房也毫不犹豫答应了｡房间位置还可以,周围景色也还不错｡"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2018-10-21T06:13:06.000Z,"住所位置很好,吃饭方便,离景区也非常近｡房东人超好,我们不熟悉的问题快速帮忙解答景点,饭店｡墙裂推荐"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2018-10-19T05:09:37.000Z,"房子很干净很温馨,还可以做饭,有种住在家里的感觉,很舒服｡房东人很友善很好说话,回答问题也很及时,是一次很不错的入住体验｡"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2018-08-26T07:10:25.000Z,"入住的时候房间的被子是刚清洗干净的,客厅有电视看,也有wifi,房东挺贴心,会耐心告知屋里的东西使用,这几点不错｡不足的是房间空调噪音有点大,浴室花洒建议换下,水流太小了｡还有镜子在阳台上,第二天才找到镜子用"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2018-07-22T07:47:30.000Z,"环境不错,住址就黄花镇上,在景点附近,配套设施齐全,厨房可以自己煮饭,就地址有点模糊,在导航上找不到,后来问房东才找到导航上的地址,感觉洞天仙境值得一游,九重天和峰林胜景浪费门票,没什么好看的,除非你去漂流,附近的黄花公园和赵州古桥也是浪费时间的,特产有笋岗,腐竹,豆腐等,都很好吃!"
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,2018-04-06T08:20:40.000Z,"地理位置不错,离景点都很近,开车自驾比较方便｡房东以及家人都很好客,还专门为客人准备了新牙刷和新水杯很贴心,早上家人还为我们准备了早餐｡只是有一点如果能改进那就最好了,就是预订的时候以为房子是我们自己住的,去到才知道会与房东家人一起住｡如果是会有可能与房东或房东家人一起住的话,提前告知或者写在房源介绍里面,让访客有个心理准备那就更加好了｡不过总体来说,还是不错的｡"
文頭仔屋,2018-10-03T07:45:43.000Z,"房东很nice,服务热情周到,房间干净整洁,装修给人小清新的感觉｡无敌江景,免费泳池温泉,很适合全家人或亲朋好友小憩几天｡"
文頭仔屋,2018-04-07T07:10:33.000Z,一線江景 娛樂設施豐富
碧桂园清泉城鑫飞扬度假别墅,2019-02-13T08:05:44.000Z,总体环境各种还是很好的~ 对于有小孩子的家庭还可以多增加一点水里的玩具 增加趣味性~
高品号邮轮·空中红馆k歌spa别墅8房16床,2018-09-06T08:14:12.000Z,"房源真心不错,我们是公司聚会,本来还担心有些同事不够住,结果床都是1.5以上的｡每个人都够房间用｡不错!"
高品号邮轮·空中红馆k歌spa别墅8房16床,2018-05-13T05:54:18.000Z,"主题很有意思,房间布置很棒,床也很大,小伙伴们玩的很开心~"
高品号邮轮·欢乐今宵利舞台双连幢spa别墅15房26床,2018-10-21T08:28:48.000Z,服务态度好 房间设施齐全 很好玩
佛冈清泉城之家,2018-02-21T07:19:55.000Z,"环境优美,安静,小区管理严格,房间的隔音做德很好,房子里面各种生活设施都齐备了,如果需要做饭的人士,需要自带油盐酱醋｡房东回复及时,热情,给予了一些游玩的建议参考,管家能及时到达帮助我入住,总的来说性价比高的房子,下次如果还是3-4人去游玩,还是会再来住的｡另外这里距离森波拉温泉很近,还有观音山也不远,可以尝试这边有名的三八鸡粥,顺便在观音山脚下的农庄带只走低鸡回家,20元一斤,棒极了!"
清远佛冈温泉度假别墅望湖带私人泡池烧烤麻将KTV4房8-21,2018-09-24T05:38:40.000Z,"假期可以考虑去,但是接待的人态度非常不好,并且没有办法说普通话,让我们很尴尬,话筒没有电,送电池的人员态度及其差,摆臭脸,让我们很扫兴"
清远佛冈温泉度假别墅望湖带私人泡池烧烤麻将KTV4房8-21,2018-04-06T08:45:21.000Z,"总体很好,下次还会去住｡"
清远佛冈温泉度假别墅带泡池麻将烧烤KTV4房17-22,2018-05-12T08:09:45.000Z,"很棒的一次体验,房东非常热情强烈推荐｡交通便利从高速下来就是了｡很好找｡设备齐全洗漱什么的都很齐全,温泉放水要30分钟还不错｡管家很nice很晚邦我们买牌啤酒"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2019-02-20T07:42:10.000Z,"很不错,附近️运动中心,别墅内可以烧烤,烧烤食材也可以去市场买,很近,位置很方便,也可以直接叫外卖送过来,大家也玩的很开心｡"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2019-02-12T06:52:55.000Z,"周边环境挺好,里面布局豪华装,️K歌厅,烧烤花园和打️,是朋友同学‍‍公司聚会的好地方,附近农庄的特色菜也不错"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2019-01-14T06:45:41.000Z,"对于住,只能说一般般,卫生间沐浴露没有,被单不干净,上面都有脚印｡重点说一下吃的方面,我们是给了食材单然后管家采购,结果并没有按照要求买,多了很多很多,以至于浪费了很多很多｡总体来说,也就一般吧"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-08-22T06:20:24.000Z,"附近设施不完善,人气也不怎么旺 但是想清净一点是很不错的,我住的时候就是附近都没人｡"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-07-22T06:56:29.000Z,"基本如图展示,整个房源还是非常不错的,6间房,带一个KTV,后院有烧烤架,整个别墅区的环境和氛围都非常不错｡只不过周末的价格实在太高了,加上Airbnb的服务费已经明显超出了正常范围｡周边的华润超市比较下,开车1.5公里,建议很多东西还是自带"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-07-08T05:33:51.000Z,"环境不错,房间住的很舒服,管家响应及时"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-07-06T07:08:12.000Z,还可以的
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-06-26T06:38:09Z,安静休闲
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-06-21T05:13:17Z,挺不错的
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-06-20T06:35:28Z,"别墅离古龙峡漂流就15分钟车程,管家热情,服务周到,设施齐备,装修豪华,环境优美｡尤其有独立ktv房､私家温泉池､韩式烧烤炉,太贴心了｡强烈推荐｡"
